"","Scores","ABSScores","ScorePvals","ABSScorePvals"
"Cardiolipin.Metabolism",0.00309362162635261,0.00317834414336595,0.20381,0.68183
"Cardiolipin.Biosynthesis",-0.0001471781112184,0.000324114450318064,0.4506,0.94694
"Cholesterol.Biosynthesis",0.0784245397613794,0.082234458945665,0.01327,0.04964
"Citric.Acid.Cycle",0.0197180246586382,0.0248703749589147,0.16539,0.83115
"Cyclooxygenase.Arachidonic.Acid.Metabolism",0.013313666695937,0.0174577125380475,0.05858,0.11132
"Prostaglandin.Biosynthesis",0.00621389035234723,0.0131163195801243,0.18282,0.3813
"Purine.Biosynthesis",0.010625938741968,0.0182835441477052,0.19355,0.65997
"Pyrimidine.Biosynthesis",0.00698614638450308,0.0130071642109635,0.19103,0.48952
"Dopamine.Biosynthesis",-0.00195267982647705,0.00390030161427978,0.71052,0.40724
"Epinephrine.Biosynthesis",-0.00550459905445872,0.00745222084226145,0.8173,0.36773
"Norepinephrine.Biosynthesis",-0.00270004381758629,0.00464766560538902,0.7232,0.45547
"Fatty.Acid.Degradation",0.0128733779010816,0.0703888950647399,0.30792,0.71649
"Fatty.Acid.Elongation",-0.0123295912895129,0.0337834217468874,0.69683,0.65987
"Fatty.Acid.Biosynthesis",0.000954184026951157,0.0164576827937426,0.37221,0.41763
"Folate.One.Carbon.Metabolism",0.0154801422462743,0.0234215883161522,0.20282,0.87856
"Folate.biosynthesis",0.000390847070703918,0.0139703213347086,0.40313,0.55685
"Gluconeogenesis",-0.0660964497026631,0.122259319621339,0.96022,0.31014
"Glycolysis",-0.0662822909687792,0.123621406765045,0.96477,0.25539
"Glycogen.Biosynthesis",-0.0549228696904008,0.0616400040121903,0.99293,0.06376
"Glycogen.Degradation",-0.00168828684288259,0.0100818146438354,0.47299,0.96998
"Heme.Biosynthesis",-0.00318141728865129,0.00519687662541113,0.63959,0.73188
"Hexosamine.Biosynthesis",0.00800110618412105,0.00801407694275396,0.11551,0.41132
"Homocysteine.Biosynthesis",0.0265374583658505,0.0450567861642239,0.07786,0.1263
"Remethylation",0.000152673335280744,0.0020594399721909,0.40803,0.98048
"Transsulfuration",-0.00572006183824746,0.00593796936700661,0.88003,0.28316
"Ketone.Biosynthesis.and.Metabolism",-0.000480968197787985,0.00437182373529606,0.44574,0.91474
"Kynurenine.Metabolism",0.119857978672436,0.138443840209014,0.00159,0.00142
"Methionine.Cycle",0.0218555818327186,0.0586758655501688,0.20197,0.57833
"Pentose.Phosphate",-0.00425709791993729,0.0302133883737756,0.52851,0.65606
"Nicotinamide.Adenine.Metabolism",-0.00159549544372633,0.00592096305147998,0.47956,0.97306
"ADP.Ribosylation",0.0652775968069797,0.0932832016723609,0.02487,0.03966
"Nicotinamide.Adenine.Dinucleotide.Biosynthesis",0.0074112078239989,0.00741923855386982,0.1517,0.58556
"Nicotinate.and.Nicotinamide.Metabolism",0.0570111523498914,0.0633373524119688,0.03865,0.15874
"Sirtuin.Nicotinamide.Metabolism",-0.000319335049264949,0.00462314105249234,0.45204,0.63237
"Polyamine.Biosynthesis",0.012861101527583,0.020352405255329,0.12226,0.30729
"Prostanoid.Biosynthesis",0.000102136046637721,0.000169593368362887,0.37304,0.9384
"Thromboxane.Biosynthesis",0.00127584215170442,0.00127584215170442,0.09003,0.21544
"Pyruvate.Metabolism",-0.0111128160650946,0.0491934979159884,0.61968,0.71746
"Retinoic.Acid.Metabolism",-0.0297506144487611,0.0380489517079996,0.95991,0.17667
"Retinoid.Metabolism",-0.00150364852619449,0.00305144439208417,0.48315,0.99123
"Retinol.Metabolism",-7.35143215010825e-05,0.107806969603687,0.45525,0.64523
"Steroid.Hormone.Metabolism",0.0119693136834414,0.0521724489048644,0.30748,0.87092
"Aldosterone.Biosynthesis",-0.00183808359671262,0.00301145993177939,0.57031,0.83872
"Cortisol.Biosynthesis",-0.00895895128746482,0.0101323276225316,0.81801,0.56277
"Estradiol.Biosynthesis",-0.00208648498809136,0.0187380328847398,0.51162,0.43649
"Testosterone.Biosynthesis",-0.00136890061062815,0.0181246052499055,0.48163,0.40686
"Urea.Cycle",0.0375708841547983,0.0417780049289131,0.04109,0.09261
"Vitamin.K",7.97812062019987e-05,0.000138424934154504,0.35872,0.84758
"Pentose.and.Glucuronate.Interconversions",-0.00356705287116307,0.0112171150694639,0.50371,0.99858
"Fructose.and.Mannose.Metabolism",0.0442307223696686,0.0681134984355564,0.07028,0.17793
"Galactose.Metabolism",-0.0556351628792687,0.069484229191858,0.98462,0.14676
"Ascorbate.and.Aldrate.Metabolism",-0.00593193988092241,0.00935941485036989,0.57953,0.99016
"Starch.and.Suctose.Metabolism",-0.0521141085571994,0.0675560048814485,0.97513,0.22073
"Amino.Sugar.and.Nucleotide.Sugar.Metabolism",0.00591423294212747,0.125009207983952,0.35217,0.06993
"Glyoxylate.and.Dicarboxylate.Metabolism",-0.000213754198332003,0.00480032056808695,0.43165,0.99989
"Propanoate.Metabolism",-0.0218878390745602,0.0342699755167624,0.84566,0.62014
"Butanoate.Metabolism",-0.00991199024330863,0.0172671373933197,0.67255,0.90811
"Inositol.Phosphate.Metabolism",-0.0339827926370112,0.110976986671557,0.82667,0.35064
"Oxidative.Phosphorylation",0.124178197883518,0.173287773182206,0.03072,0.60385
"Nitrogen.Metabolism",-0.0277118837597211,0.0368563429674678,0.9571,0.1678
"Sulfur.Metabolism",0.00984360806108185,0.0142940602722089,0.12647,0.3395
"Steroid.Biosynthesis",0.084017863361832,0.0853614531147564,0.00922,0.02901
"Primary.Bile.Acid.Biosynthesis",0.0119318519105442,0.0177047562708331,0.15939,0.55769
"Steroid.Hormone.Biosynthesis",0.0133260306709089,0.0507479199962411,0.29201,0.86006
"Glycerolipid.Metabolism",0.00670209006730191,0.0636979823374233,0.3619,0.70214
"Glycerophospholipid.Metabolism",-0.0262219941228609,0.0973277581533631,0.71088,0.82401
"Ether.Lipid.Metabolism",0.0127325694805676,0.041082091803139,0.26985,0.79366
"Sphingolipid.Metabolism",0.0206215857143687,0.0353568747364804,0.20493,0.90649
"Arachidonic.Acid.Metabolism",0.0148279395490517,0.0675694580139736,0.28604,0.7041
"Linoleic.Acid.Metabolism",-0.0127006208133395,0.0251230225372893,0.72577,0.75463
"alpha.Linoleic.Acid.Metabolism",0.00308078234774547,0.0106947312232841,0.35079,0.97091
"Biosynthesis.of.Unsaturated.Fatty.Acids",0.00108171477248092,0.022081989424749,0.39494,0.65192
"Purine.Metabolism",0.00945291008033148,0.14028790830305,0.41192,0.99291
"Pyrimidine.Metabolism",0.0390253677944286,0.0863594052360519,0.19545,0.96256
"Alanine..Aspartate.and.Glutamate.Metabolism",0.0203554101088878,0.0687744029874948,0.17252,0.1963
"Glycine..Serine.and.Threonine.Metabolism",-0.00293481950121892,0.0428363412207253,0.48765,0.65336
"Cysteine.and.Methionine.Metabolism",-7.14790443936082e-05,0.0500850585019532,0.43798,0.6354
"Valine..Leucine.and.Isoleucine.Degradation",-0.0133090020533984,0.0253145855521872,0.65593,0.98661
"Valine..Leucine.and.Isoleucine.Biosynthesis",0.0175357979542234,0.0188566535358506,0.02889,0.05267
"Lysine.Degradation",0.00762617690015311,0.0468704520243067,0.3513,0.9147
"Arginine.Biosynthesis",0.0331078078201998,0.0509673016635773,0.06874,0.13222
"Arginine.and.Proline.Metabolism",0.0539509447525968,0.115004677659022,0.07143,0.10448
"Histidine.Metabolism",-0.0165848856100242,0.0278991300545802,0.8289,0.52238
"Tyrosine.Metabolism",-0.011690671061875,0.035258445171472,0.6736,0.67797
"Phenylalanine.Metabolism",-0.0052866369309246,0.0195040922849188,0.62391,0.49628
"Tryptophan.Metabolism",0.106980705289049,0.159244096590988,0.00919,0.01163
"Phenylalanine..Tyrosine.and.Tryptophan.Biosynthesis",-0.000133098615937795,0.000704234917769116,0.4356,0.92644
"Beta.Alanine.Metabolism",-0.000874762751695349,0.0294545350842422,0.4485,0.70472
"Taurine.and.Hypotaurine.Metabolism",-0.0152520082676313,0.023666920749064,0.9201,0.17666
"Selenocompound.Metabolism",-0.00194808148656405,0.00359082136952591,0.49871,0.99352
"D.Glutamine.and.D.Glutamate.Metabolism",-0.00114912087950168,0.00116196588286319,0.68558,0.62288
"Glutathione.Metabolism",0.0253634328507455,0.100132714154092,0.19376,0.21833
"N.Glycan.Biosynthesis",0.0122637358509878,0.0241399102731441,0.28275,0.99149
"Mucin.Type.O.Glycan.Biosynthesis",0.00957484365369238,0.0610786218027973,0.26145,0.20036
"Other.Types.of.O.Glycan.Biosynthesis",-0.0208026001793439,0.0262934066490948,0.8408,0.77789
"Glycosaminoglycan.Biosynthesis",0.0277036539075713,0.0634474285825518,0.17696,0.60843
"Glycosaminoglycan.Degradation",0.0132911453850314,0.0188933755579214,0.16067,0.59966
"Glycosphosphatidylinositol",0.0156111136431975,0.041410897758152,0.1683,0.2864
"Glycosphingolipid.Biosynthesis",0.0315534857796022,0.0987164077820219,0.14002,0.14482
"Other.Glycan.Degradation",0.000775288523670716,0.00276425319682207,0.39406,0.99893
"Thiamine.Metabolism",0.00534902157826217,0.00642757444540656,0.10456,0.25976
"Riboflavin.Metabolism",0.000676100269584865,0.000868591556369139,0.29548,0.82059
"Vitamin.B6.Metabolism",-0.00209032672661339,0.00315599503219713,0.64104,0.68527
"Pantothenate.and.CoA.Biosynthesis",0.0384049062207601,0.0409134528072271,0.04936,0.15336
"Biotin.Metabolism",0.00473074439040714,0.00473074439040714,0.0914,0.25322
"Lipoic.Acid.Metabolism",0.00018274117788116,0.000218906770091716,0.34883,0.91533
"Porphyrin.and.Chlorophyll.Metabolism",0.00475683886743496,0.0183175575056639,0.35597,0.99323
"Ubiquinone.and.other.Terpenoid.Quinone.Biosynthesis",0.00836359854029515,0.0121470014147124,0.15814,0.47162
"Terpenoid.Backbone.Biosynthesis",0.00133750779667349,0.00599406021822697,0.38601,0.99336
"Caffiene.Metabolism",0.00104169872045695,0.00417084920410727,0.28826,0.49167
"Neomycin..Kanamysin.and.Gentamicin.Biosynthesis",-0.0528050527267481,0.0584731531543555,0.99869,0.00878
"Metabolism.of.Xenobiotics.by.Cytochrome.P450",-0.0112733091654161,0.0575289733368275,0.58162,0.94226
"Drug.Metabolism.by.Cytochrome.P450",-0.0243551847515174,0.0877051427109344,0.74172,0.56277
"Drug.Metabolism.by.other.enzymes",0.0202987960633747,0.0336736228018006,0.20495,0.9145
