,logFC,AveExpr,t,P.Value,adj.P.Val,B,Score,ABSScore
DSCC1,0.161004699,5.925755851,12.56982469,2.58E-34,5.08E-30,67.04339534,4.716456833,4.716456833
C8orf76,0.098543502,6.160466343,12.06138412,7.36E-32,7.26E-28,61.44972371,2.674374971,2.674374971
TATDN1,0.092332513,6.147766278,11.48437061,3.60E-29,2.37E-25,55.33501398,2.273727619,2.273727619
NDUFB9,0.085844645,6.514548041,11.32280772,1.95E-28,9.63E-25,53.47853435,2.061663997,2.061663997
DERL1,0.067177513,6.503792798,11.14265826,1.26E-27,4.96E-24,51.64640912,1.565535794,1.565535794
NUDCD1,0.093142658,6.216573373,11.05377713,3.12E-27,1.03E-23,50.88978666,2.141214793,2.141214793
NSMCE2,0.08659406,6.120329957,11.03841142,3.65E-27,1.03E-23,50.78819218,1.990577212,1.990577212
MRPL13,0.090733588,6.299302098,10.98944561,6.01E-27,1.48E-23,50.1981459,2.071369445,2.071369445
DCAF13,0.084834576,6.374718519,10.95019027,8.95E-27,1.96E-23,49.76610049,1.926376143,1.926376143
POP1,0.107956561,5.98934445,10.77580291,5.17E-26,1.02E-22,48.21939659,2.374123928,2.374123928
TMEM65,0.107272309,6.177918666,10.75667218,6.26E-26,1.12E-22,47.94537541,2.354618096,2.354618096
SQLE,0.110529036,6.420260193,10.56570125,4.15E-25,6.82E-22,45.93846059,2.339492227,2.339492227
MTBP,0.141768551,5.846577744,10.50629807,7.43E-25,1.13E-21,45.5947289,2.969775598,2.969775598
MTERFD1,0.089346553,6.154323811,10.49466074,8.32E-25,1.17E-21,45.41092856,1.870095908,1.870095908
MED30,0.099531949,5.939872883,10.43930316,1.43E-24,1.76E-21,44.96300576,2.065715693,2.065715693
PTDSS1,0.076328349,6.439151863,10.46367341,1.13E-24,1.48E-21,44.95151994,1.58987216,1.58987216
WDR67,0.111038053,5.951457797,10.34735357,3.48E-24,4.04E-21,44.08501017,2.264441996,2.264441996
