"","Scores","ABSScores","ScorePvals","ABSScorePvals"
"Cardiolipin.Metabolism",0.0293332478850022,0.0299030990508246,0.23132,0.60257
"Cardiolipin.Biosynthesis",0.00316714823965894,0.00316714823965894,0.43061,0.91996
"Cholesterol.Biosynthesis",0.240043010513086,0.261407596216993,0.06227,0.35879
"Citric.Acid.Cycle",0.0314352284068787,0.146931223291453,0.48484,0.92836
"Cyclooxygenase.Arachidonic.Acid.Metabolism",0.000463407032201993,0.00804436424558246,0.51948,0.92329
"Prostaglandin.Biosynthesis",-0.0392858273697989,0.104687493513612,0.79542,0.35333
"Purine.Biosynthesis",0.018963356012241,0.219195271672229,0.47286,0.35609
"Pyrimidine.Biosynthesis",0.0473696887356266,0.0623754337714793,0.27097,0.71389
"Dopamine.Biosynthesis",0.100532784493797,0.311156294656099,0.04517,0.00571
"Epinephrine.Biosynthesis",0.094245716622582,0.317443362527314,0.07523,0.01043
"Norepinephrine.Biosynthesis",0.09877934029212,0.312909738857776,0.06047,0.0081
"Fatty.Acid.Degradation",-0.438365873461918,0.568684745425114,0.98386,0.62513
"Fatty.Acid.Elongation",0.0978049481915187,0.26965302315776,0.3099,0.61268
"Fatty.Acid.Biosynthesis",0.0897410857200285,0.126937187361292,0.16528,0.40624
"Folate.One.Carbon.Metabolism",0.41298162883818,0.508482377096776,0.02012,0.12635
"Folate.biosynthesis",0.163013697385442,0.220974013089819,0.07259,0.16971
"Gluconeogenesis",-0.00738206716888484,0.705226782246953,0.64011,0.54637
"Glycolysis",-0.0106816372212346,0.695270578983422,0.63951,0.4923
"Glycogen.Biosynthesis",-0.026404521022406,0.0744908566803685,0.67957,0.87562
"Glycogen.Degradation",-0.0289661789816013,0.0756445065343908,0.67493,0.96923
"Heme.Biosynthesis",-0.000157104794269876,0.0262655852247968,0.54139,0.85344
"Hexosamine.Biosynthesis",0.0163788293843241,0.0188096632904354,0.34332,0.82449
"Homocysteine.Biosynthesis",0.0119588593056399,0.139888692402201,0.49743,0.57147
"Remethylation",-0.00953491135933883,0.0279850335485175,0.6199,0.91457
"Transsulfuration",-0.000217254747597723,0.0729772456395315,0.53405,0.15762
"Ketone.Biosynthesis.and.Metabolism",-0.134976442993936,0.165544986598097,0.95306,0.23411
"Kynurenine.Metabolism",-0.00924716924911871,0.367016610150156,0.61234,0.02543
"Methionine.Cycle",0.306897977796202,0.598448522989396,0.09508,0.25517
"Pentose.Phosphate",0.0777245767077858,0.203096246000615,0.33956,0.73533
"Nicotinamide.Adenine.Metabolism",0.117292177060182,0.170596147385019,0.16155,0.44558
"ADP.Ribosylation",0.0133477001452539,0.133570092793552,0.52126,0.85994
"Nicotinamide.Adenine.Dinucleotide.Biosynthesis",-0.010101643064423,0.0156268335135112,0.63439,0.94625
"Nicotinate.and.Nicotinamide.Metabolism",0.0429901334139235,0.207866234148692,0.43166,0.69555
"Sirtuin.Nicotinamide.Metabolism",0.00389738389209176,0.0219365565184767,0.47663,0.78668
"Polyamine.Biosynthesis",0.142629243301142,0.178965093698145,0.0856,0.23412
"Prostanoid.Biosynthesis",-0.0026652908660356,0.00489856618878849,0.63688,0.75743
"Thromboxane.Biosynthesis",-0.0035222493800486,0.0035222493800486,0.82062,0.37317
"Pyruvate.Metabolism",0.0197109806754211,0.311724613261401,0.55365,0.83933
"Retinoic.Acid.Metabolism",0.227418823519224,0.275129616716441,0.04744,0.16941
"Retinoid.Metabolism",0.175228263272191,0.234671822697952,0.06785,0.17155
"Retinol.Metabolism",-0.934093707273425,1.5866288554113,0.99934,0.01609
"Steroid.Hormone.Metabolism",-0.339216254663029,0.655851210838868,0.96719,0.35744
"Aldosterone.Biosynthesis",-0.0669684617683425,0.0802631262097575,0.90006,0.35906
"Cortisol.Biosynthesis",-0.0700052904209055,0.0832999548623206,0.87692,0.52211
"Estradiol.Biosynthesis",0.0215147141825651,0.0369696334872805,0.42828,0.9587
"Testosterone.Biosynthesis",0.0563988417216831,0.0703649385398389,0.26653,0.75749
"Urea.Cycle",-0.0305773001587745,0.0978467206386695,0.72224,0.59626
"Vitamin.K",0.000524112841601799,0.000524112841601799,0.45576,0.90082
"Pentose.and.Glucuronate.Interconversions",-0.273324460636305,0.539614716905873,0.96849,0.13221
"Fructose.and.Mannose.Metabolism",0.0967807518421759,0.244045353870504,0.30825,0.68912
"Galactose.Metabolism",0.0662856297188334,0.367970274720392,0.37563,0.29341
"Ascorbate.and.Aldrate.Metabolism",-0.241706863689046,0.504933168174353,0.96884,0.06814
"Starch.and.Suctose.Metabolism",-0.103142710665816,0.280252571262235,0.82897,0.66166
"Amino.Sugar.and.Nucleotide.Sugar.Metabolism",0.15840828992506,0.2048903359332,0.25944,0.97842
"Glyoxylate.and.Dicarboxylate.Metabolism",0.0995950222614183,0.26050346752839,0.27501,0.48774
"Propanoate.Metabolism",-0.112754893158694,0.23073116256923,0.85002,0.70347
"Butanoate.Metabolism",-0.427815496043878,0.464970110362464,0.99459,0.10614
"Inositol.Phosphate.Metabolism",0.331823334355184,0.703775726122075,0.13333,0.47838
"Oxidative.Phosphorylation",0.64288959262913,0.759511938334312,0.06682,0.98996
"Nitrogen.Metabolism",-0.0579817728578188,0.245315758248231,0.80024,0.19933
"Sulfur.Metabolism",0.0162046493658685,0.0502480880927793,0.40319,0.69363
"Steroid.Biosynthesis",0.203267609525735,0.227920811386072,0.07288,0.32917
"Primary.Bile.Acid.Biosynthesis",-0.0064171350955395,0.101780624854428,0.58779,0.71007
"Steroid.Hormone.Biosynthesis",-0.348698629297634,0.652577612131828,0.96974,0.32747
"Glycerolipid.Metabolism",0.0252994488098911,0.208066205875277,0.55849,0.99733
"Glycerophospholipid.Metabolism",-0.20377128095458,0.622722725834897,0.87408,0.92876
"Ether.Lipid.Metabolism",-0.164627016148888,0.405212673093026,0.88849,0.55949
"Sphingolipid.Metabolism",-0.161551131747134,0.297660234967373,0.88168,0.84966
"Arachidonic.Acid.Metabolism",-0.670006503480884,0.886890491813847,0.99744,0.11521
"Linoleic.Acid.Metabolism",-0.24225493259968,0.293704202661419,0.9661,0.41981
"alpha.Linoleic.Acid.Metabolism",-0.178945743403567,0.284330461151005,0.9423,0.33207
"Biosynthesis.of.Unsaturated.Fatty.Acids",0.0695906997232784,0.214800047098771,0.31392,0.47078
"Purine.Metabolism",0.140712186822202,1.40871704239912,0.53956,0.85588
"Pyrimidine.Metabolism",0.486470339618246,0.876123159227124,0.09782,0.743
"Alanine..Aspartate.and.Glutamate.Metabolism",-0.0413923649487911,0.54947777768019,0.69715,0.11346
"Glycine..Serine.and.Threonine.Metabolism",0.275752238912428,0.658797966747531,0.09211,0.081
"Cysteine.and.Methionine.Metabolism",0.318003081716116,0.500619357199481,0.0767,0.34403
"Valine..Leucine.and.Isoleucine.Degradation",-0.281634982973173,0.449769747995237,0.95903,0.52184
"Valine..Leucine.and.Isoleucine.Biosynthesis",-0.00381609906910512,0.014244627529587,0.63178,0.63014
"Lysine.Degradation",0.15595610662707,0.284899160859595,0.30664,0.97406
"Arginine.Biosynthesis",0.010826896376282,0.191833055912787,0.51545,0.48004
"Arginine.and.Proline.Metabolism",0.164030870355232,0.326370413250244,0.25632,0.82688
"Histidine.Metabolism",0.0403939824871667,0.401057137806247,0.4135,0.11334
"Tyrosine.Metabolism",-0.000756079078933487,0.556750634974154,0.58578,0.1064
"Phenylalanine.Metabolism",0.0796469193091405,0.345694975453334,0.2327,0.07466
"Tryptophan.Metabolism",0.131657903361324,0.694614390130265,0.27326,0.06339
"Phenylalanine..Tyrosine.and.Tryptophan.Biosynthesis",0.00824931733073018,0.0907794560275475,0.37014,0.15744
"Beta.Alanine.Metabolism",-0.0914914024362945,0.245693121353305,0.82033,0.62803
"Taurine.and.Hypotaurine.Metabolism",0.0041146456728266,0.0977959987715785,0.50697,0.43933
"Selenocompound.Metabolism",0.0298120345348909,0.0919540038670896,0.40537,0.76033
"D.Glutamine.and.D.Glutamate.Metabolism",-0.0349590004544688,0.0349590004544688,0.9087,0.25448
"Glutathione.Metabolism",0.274612884613266,0.595968184284757,0.13256,0.34755
"N.Glycan.Biosynthesis",-0.0262886624924907,0.15255528842457,0.65958,0.99766
"Mucin.Type.O.Glycan.Biosynthesis",-0.250645909206699,0.380272061631315,0.96834,0.26886
"Other.Types.of.O.Glycan.Biosynthesis",0.0140788078459818,0.0811944570368345,0.53277,0.994
"Glycosaminoglycan.Biosynthesis",0.0704772621680062,0.22386105978031,0.45361,0.98713
"Glycosaminoglycan.Degradation",0.0152460929558504,0.077126364017905,0.48501,0.89002
"Glycosphosphatidylinositol",0.00920233274237362,0.0876799027171693,0.53511,0.95694
"Glycosphingolipid.Biosynthesis",0.282205774521914,0.357716313873994,0.10441,0.69743
"Other.Glycan.Degradation",-0.0614674337359675,0.0646686637832273,0.80306,0.91454
"Thiamine.Metabolism",-0.00812520275916128,0.00981551559115509,0.70038,0.72945
"Riboflavin.Metabolism",0.00119773133961268,0.00256521194885072,0.4879,0.93979
"Vitamin.B6.Metabolism",0.283359017491685,0.386657043742649,0.00597,0.00517
"Pantothenate.and.CoA.Biosynthesis",-0.00170111186447367,0.0745583658669889,0.56419,0.87416
"Biotin.Metabolism",-0.019739370481523,0.0199909590363729,0.84753,0.39853
"Lipoic.Acid.Metabolism",-0.00266559642508528,0.00266559642508528,0.63597,0.85485
"Porphyrin.and.Chlorophyll.Metabolism",-0.28059488580512,0.498700654053079,0.96307,0.28467
"Ubiquinone.and.other.Terpenoid.Quinone.Biosynthesis",-0.0171345761221069,0.0790588563410904,0.67177,0.54656
"Terpenoid.Backbone.Biosynthesis",-0.0175825465932197,0.268995648498343,0.63779,0.28083
"Caffiene.Metabolism",-0.252977152134184,0.252977152134184,0.9966,0.01413
"Neomycin..Kanamysin.and.Gentamicin.Biosynthesis",0.0504503525450055,0.0505022849001298,0.13093,0.32811
"Metabolism.of.Xenobiotics.by.Cytochrome.P450",-0.400841377705187,1.35951963844725,0.97465,0.01643
"Drug.Metabolism.by.Cytochrome.P450",-0.613827145017072,1.39083455370886,0.99503,0.01036
